Model,Cores,Threads,Base Clock (GHz),Boost Clock (GHz),TDP (W),Socket,Platform,Integrated Graphics,L3 Cache (MB),Manufacturer
AMD EPYC™ 9754,128.0,256.0,2.25,3.1,360.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9754S,128.0,128.0,2.25,3.1,360.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9734,112.0,224.0,2.2,3.0,340.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9654,96.0,192.0,2.4,3.7,360.0,SP5,Server,None,384.0,AMD
AMD EPYC™ 9654P,96.0,192.0,2.4,3.7,360.0,SP5,Server,None,384.0,AMD
AMD EPYC™ 9684X,96.0,192.0,2.55,3.7,400.0,SP5,Server,None,1152.0,AMD
AMD EPYC™ 9634,84.0,168.0,2.25,3.7,290.0,SP5,Server,None,384.0,AMD
AMD EPYC™ 7662,64.0,128.0,2.0,3.3,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7702,64.0,128.0,2.0,3.35,200.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7702P,64.0,128.0,2.0,3.35,200.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7713,64.0,128.0,2.0,3.675,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7713P,64.0,128.0,2.0,3.675,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7742,64.0,128.0,2.25,3.4,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7763,64.0,128.0,2.45,3.5,280.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7773X,64.0,128.0,2.2,3.5,280.0,SP3,Server,None,768.0,AMD
AMD EPYC™ 7H12,64.0,128.0,2.6,3.3,280.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 9534,64.0,128.0,2.45,3.7,280.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9554,64.0,128.0,3.1,3.75,360.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9554P,64.0,128.0,3.1,3.75,360.0,SP5,Server,None,256.0,AMD
AMD Ryzen™ Threadripper™ 3990X,64.0,128.0,2.9,4.3,280.0,sTRX4,Boxed Processor,None,256.0,AMD
AMD Ryzen™ Threadripper™ PRO 3995WX,64.0,128.0,2.7,4.2,280.0,sWRX8,Desktop,None,256.0,AMD
AMD Ryzen™ Threadripper™ PRO 5995WX,64.0,128.0,2.7,4.5,280.0,sWRX8,Desktop,None,256.0,AMD
AMD EPYC™ 7663,56.0,112.0,2.0,3.5,240.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7552,48.0,96.0,2.2,3.3,200.0,SP3,Server,None,192.0,AMD
AMD EPYC™ 7642,48.0,96.0,2.3,3.3,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7643,48.0,96.0,2.3,3.6,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 9454,48.0,96.0,2.75,3.8,290.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9454P,48.0,96.0,2.75,3.8,290.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9474F,48.0,96.0,3.6,4.1,360.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 7452,32.0,64.0,2.35,3.35,155.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7501,32.0,64.0,2.0,3.0,155.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7502,32.0,64.0,2.5,3.35,180.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7502P,32.0,64.0,2.5,3.35,180.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7513,32.0,64.0,2.6,3.65,200.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7532,32.0,64.0,2.4,3.3,200.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7542,32.0,64.0,2.9,3.4,225.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7543,32.0,64.0,2.8,3.7,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7543P,32.0,64.0,2.8,3.7,225.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7551,32.0,64.0,2.0,3.0,180.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7551P,32.0,64.0,2.0,3.0,180.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7573X,32.0,64.0,2.8,3.6,280.0,SP3,Server,None,768.0,AMD
AMD EPYC™ 75F3,32.0,64.0,2.95,4.0,280.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7601,32.0,64.0,2.2,3.2,180.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 9334,32.0,64.0,2.7,3.9,210.0,SP5,Server,None,128.0,AMD
AMD EPYC™ 9354,32.0,64.0,3.25,3.8,280.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9354P,32.0,64.0,3.25,3.8,280.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9374F,32.0,64.0,3.85,4.3,320.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9384X,32.0,64.0,3.1,3.9,320.0,SP5,Server,None,768.0,AMD
AMD Ryzen™ Threadripper™ 2990WX,32.0,64.0,3.0,4.2,250.0,sTR4,Boxed Processor,None,64.0,AMD
AMD Ryzen™ Threadripper™ 3970X,32.0,64.0,3.7,4.5,280.0,sTRX4,Boxed Processor,None,128.0,AMD
AMD Ryzen™ Threadripper™ PRO 3975WX,32.0,64.0,3.5,4.2,280.0,sWRX8,Desktop,None,128.0,AMD
AMD Ryzen™ Threadripper™ PRO 5975WX,32.0,64.0,3.6,4.5,280.0,sWRX8,Desktop,None,128.0,AMD
AMD EPYC™ 7453,28.0,56.0,2.75,3.45,225.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7352,24.0,48.0,2.3,3.2,155.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7401,24.0,48.0,2.0,3.0,155.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7401P,24.0,48.0,2.0,3.0,155.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7402,24.0,48.0,2.8,3.35,180.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7402P,24.0,48.0,2.8,3.35,180.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7413,24.0,48.0,2.65,3.6,180.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7443,24.0,48.0,2.85,4.0,200.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7443P,24.0,48.0,2.85,4.0,200.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7451,24.0,48.0,2.3,3.2,180.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7473X,24.0,48.0,2.8,3.7,240.0,SP3,Server,None,768.0,AMD
AMD EPYC™ 74F3,24.0,48.0,3.2,4.0,240.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7F72,24.0,48.0,3.2,3.7,240.0,SP3,Server,None,192.0,AMD
AMD EPYC™ 9224,24.0,48.0,2.5,3.7,200.0,SP5,Server,None,64.0,AMD
AMD EPYC™ 9254,24.0,48.0,2.9,4.15,200.0,SP5,Server,None,128.0,AMD
AMD EPYC™ 9274F,24.0,48.0,4.05,4.3,320.0,SP5,Server,None,256.0,AMD
AMD Ryzen™ Threadripper™ 2970WX,24.0,48.0,3.0,4.2,250.0,sTR4,Boxed Processor,None,64.0,AMD
AMD Ryzen™ Threadripper™ 3960X,24.0,48.0,3.8,4.5,280.0,sTRX4,Boxed Processor,None,128.0,AMD
AMD Ryzen™ Threadripper™ PRO 5965WX,24.0,48.0,3.8,4.5,280.0,sWRX8,Desktop,None,128.0,AMD
6262 HE,16.0,16.0,1.6,2.9,85.0,G34,Server,None,16.0,AMD
6272,16.0,16.0,2.1,3.0,115.0,G34,Server,None,16.0,AMD
6274,16.0,16.0,2.2,3.1,115.0,G34,Server,None,16.0,AMD
6276,16.0,16.0,2.3,3.2,115.0,G34,Server,None,16.0,AMD
6278,16.0,16.0,2.4,3.3,115.0,G34,Server,None,16.0,AMD
6282 SE,16.0,16.0,2.6,3.3,140.0,G34,Server,None,16.0,AMD
6284 SE,16.0,16.0,2.7,3.4,140.0,G34,Server,None,16.0,AMD
6366 HE,16.0,16.0,1.8,3.1,85.0,G34,Server,None,16.0,AMD
6370P,16.0,16.0,2.0,2.5,99.0,G34,Server,None,16.0,AMD
6376,16.0,16.0,2.3,2.0,115.0,G34,Server,None,16.0,AMD
6378,16.0,16.0,2.4,3.3,115.0,G34,Server,None,16.0,AMD
6380,16.0,16.0,2.5,3.4,115.0,G34,Server,None,16.0,AMD
6386 SE,16.0,16.0,2.8,3.5,140.0,G34,Server,None,16.0,AMD
AMD EPYC™ 7281,16.0,32.0,2.1,2.7,155.0,SP3,Server,None,32.0,AMD
AMD EPYC™ 7282,16.0,32.0,2.8,3.2,120.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7301,16.0,32.0,2.2,2.7,155.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7302,16.0,32.0,3.0,3.3,155.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7302P,16.0,32.0,3.0,3.3,155.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7313,16.0,32.0,3.0,3.7,155.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7313P,16.0,32.0,3.0,3.7,155.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7343,16.0,32.0,3.2,3.9,190.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 7351,16.0,32.0,2.4,2.9,155.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7351P,16.0,32.0,2.4,2.9,155.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7371,16.0,32.0,3.1,3.8,200.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7373X,16.0,32.0,3.05,3.8,240.0,SP3,Server,None,768.0,AMD
AMD EPYC™ 73F3,16.0,32.0,3.5,4.0,240.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7F52,16.0,32.0,3.5,3.9,240.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 9124,16.0,32.0,3.0,3.7,200.0,SP5,Server,None,64.0,AMD
AMD EPYC™ 9174F,16.0,32.0,4.1,4.4,320.0,SP5,Server,None,256.0,AMD
AMD EPYC™ 9184X,16.0,32.0,3.55,4.2,320.0,SP5,Server,None,768.0,AMD
AMD Ryzen™ 9 3950X,16.0,32.0,3.5,4.7,105.0,AM4,Boxed Processor,None,64.0,AMD
AMD Ryzen™ 9 5950X,16.0,32.0,3.4,4.9,105.0,AM4,Boxed Processor,None,64.0,AMD
AMD Ryzen™ 9 7945HX,16.0,32.0,2.5,5.4,55.0,FL1,Laptop,AMD Radeon™ 610M,64.0,AMD
AMD Ryzen™ 9 7950X,16.0,32.0,4.5,5.7,170.0,AM5,Desktop,AMD Radeon™ Graphics,64.0,AMD
AMD Ryzen™ 9 7950X3D,16.0,32.0,4.2,5.7,120.0,AM5,Desktop,AMD Radeon™ Graphics,128.0,AMD
AMD Ryzen™ Threadripper™ 1950X,16.0,32.0,3.4,4.0,180.0,sTR4,Boxed Processor,None,32.0,AMD
AMD Ryzen™ Threadripper™ 2950X,16.0,32.0,3.5,4.4,180.0,sTR4,Boxed Processor,None,32.0,AMD
AMD Ryzen™ Threadripper™ PRO 3955WX,16.0,32.0,3.9,4.3,280.0,sWRX8,Desktop,None,64.0,AMD
AMD Ryzen™ Threadripper™ PRO 5955WX,16.0,32.0,4.0,4.5,280.0,sWRX8,Desktop,None,64.0,AMD
6166 HE,12.0,12.0,1.8,0.0,85.0,G34,Server,None,12.0,AMD
6176,12.0,12.0,2.3,0.0,115.0,G34,Server,None,12.0,AMD
6180 SE,12.0,12.0,2.5,0.0,140.0,G34,Server,None,12.0,AMD
6234,12.0,12.0,2.4,3.0,115.0,G34,Server,None,16.0,AMD
6238,12.0,12.0,2.6,3.2,115.0,G34,Server,None,16.0,AMD
6338P,12.0,12.0,2.3,2.8,99.0,G34,Server,None,16.0,AMD
6344,12.0,12.0,2.6,2.0,115.0,G34,Server,None,16.0,AMD
6348,12.0,12.0,2.8,3.4,115.0,G34,Server,None,16.0,AMD
AMD EPYC™ 7272,12.0,24.0,2.9,3.2,120.0,SP3,Server,None,64.0,AMD
AMD Ryzen™ 9 3900 Processor (OEM Only),12.0,24.0,3.1,4.3,65.0,AM4,Desktop,None,64.0,AMD
AMD Ryzen™ 9 3900X,12.0,24.0,3.8,4.6,105.0,AM4,Boxed Processor,None,64.0,AMD
AMD Ryzen™ 9 3900XT,12.0,24.0,3.8,4.7,105.0,N/A,Boxed Processor,None,64.0,AMD
AMD Ryzen™ 9 5900 (OEM Only),12.0,24.0,3.0,4.7,65.0,AM4,Desktop,None,64.0,AMD
AMD Ryzen™ 9 5900X,12.0,24.0,3.7,4.8,105.0,AM4,Boxed Processor,None,64.0,AMD
AMD Ryzen™ 9 7845HX,12.0,24.0,3.0,5.2,55.0,FL1,Laptop,AMD Radeon™ 610M,64.0,AMD
AMD Ryzen™ 9 7900,12.0,24.0,3.7,5.4,65.0,AM5,Desktop,AMD Radeon™ Graphics,64.0,AMD
AMD Ryzen™ 9 7900X,12.0,24.0,4.7,5.6,170.0,AM5,Desktop,AMD Radeon™ Graphics,64.0,AMD
AMD Ryzen™ 9 7900X3D,12.0,24.0,4.4,5.6,120.0,AM5,Desktop,AMD Radeon™ Graphics,128.0,AMD
AMD Ryzen™ 9 PRO 3900,12.0,24.0,3.1,4.3,65.0,AM4,Desktop,None,64.0,AMD
AMD Ryzen™ 9 PRO 5945,12.0,24.0,3.0,4.7,65.0,AM4,Desktop,None,64.0,AMD
AMD Ryzen™ 9 PRO 7945,12.0,24.0,3.7,5.4,65.0,AM5,Desktop,AMD Radeon™ Graphics,64.0,AMD
AMD Ryzen™ Threadripper™ 1920X,12.0,24.0,3.5,4.0,180.0,sTR4,Boxed Processor,None,32.0,AMD
AMD Ryzen™ Threadripper™ 2920X,12.0,24.0,3.5,4.3,180.0,sTR4,Boxed Processor,None,32.0,AMD
AMD Ryzen™ Threadripper™ PRO 3945WX,12.0,24.0,4.0,4.3,280.0,N/A,Desktop,None,64.0,AMD
AMD Ryzen™ Threadripper™ PRO 5945WX,12.0,24.0,4.1,4.5,280.0,sWRX8,Desktop,None,64.0,AMD
3280,8.0,8.0,2.4,3.4,65.0,AM3+,Server,None,8.0,AMD
3365,8.0,8.0,2.3,3.3,65.0,AM3+,Server,None,8.0,AMD
3380,8.0,8.0,2.6,3.6,65.0,AM3+,Server,None,8.0,AMD
4256 EE,8.0,8.0,1.6,2.8,35.0,C32,Server,None,8.0,AMD
4274 HE,8.0,8.0,2.5,3.5,65.0,C32,Server,None,8.0,AMD
4276 HE,8.0,8.0,2.6,3.6,65.0,C32,Server,None,8.0,AMD
4280,8.0,8.0,2.8,2.2,95.0,C32,Server,None,8.0,AMD
4284,8.0,8.0,3.0,3.7,95.0,C32,Server,None,8.0,AMD
4365,8.0,8.0,2.0,2.8,40.0,C32,Server,None,8.0,AMD
4376 HE,8.0,8.0,2.6,3.6,65.0,C32,Server,None,8.0,AMD
4386,8.0,8.0,3.1,3.8,95.0,C32,Server,None,8.0,AMD
6132 HE,8.0,8.0,2.2,0.0,85.0,G34,Server,None,12.0,AMD
6140,8.0,8.0,2.6,0.0,115.0,G34,Server,None,12.0,AMD
6212,8.0,8.0,2.6,3.2,115.0,G34,Server,None,16.0,AMD
6220,8.0,8.0,3.0,3.6,115.0,G34,Server,None,16.0,AMD
6320,8.0,8.0,2.8,3.3,115.0,G34,Server,None,16.0,AMD
6328,8.0,8.0,3.2,3.8,115.0,G34,Server,None,16.0,AMD
AMD EPYC™ 7232P,8.0,16.0,3.1,3.2,120.0,SP3,Server,None,32.0,AMD
AMD EPYC™ 7251,8.0,16.0,2.1,2.9,120.0,SP3,Server,None,32.0,AMD
AMD EPYC™ 7252,8.0,16.0,3.1,3.2,120.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7261,8.0,16.0,2.5,2.9,155.0,SP3,Server,None,64.0,AMD
AMD EPYC™ 7262,8.0,16.0,3.2,3.4,155.0,SP3,Server,None,128.0,AMD
AMD EPYC™ 72F3,8.0,16.0,3.7,4.1,180.0,SP3,Server,None,256.0,AMD
AMD EPYC™ 7F32,8.0,16.0,3.7,3.9,180.0,SP3,Server,None,128.0,AMD
AMD Ryzen™ 7 1700 Processor,8.0,16.0,3.0,3.7,65.0,AM4,Boxed Processor,None,16.0,AMD
AMD Ryzen™ 7 1700X,8.0,16.0,3.4,3.8,95.0,AM4,Boxed Processor,None,16.0,AMD
AMD Ryzen™ 7 1800X,8.0,16.0,3.6,4.0,95.0,AM4,Boxed Processor,None,16.0,AMD
AMD Ryzen™ 7 2700,8.0,16.0,3.2,4.1,65.0,AM4,Boxed Processor,None,16.0,AMD
AMD Ryzen™ 7 2700E Processor,8.0,16.0,2.8,4.0,45.0,AM4,Desktop,None,16.0,AMD
AMD Ryzen™ 7 2700X,8.0,16.0,3.7,4.3,105.0,AM4,Boxed Processor,None,16.0,AMD
AMD Ryzen™ 7 3700X,8.0,16.0,3.6,4.4,65.0,AM4,Boxed Processor,None,32.0,AMD
AMD Ryzen™ 7 3800X,8.0,16.0,3.9,4.5,105.0,AM4,Boxed Processor,None,32.0,AMD
AMD Ryzen™ 7 3800XT,8.0,16.0,3.9,4.7,105.0,AM4,Boxed Processor,None,32.0,AMD
AMD Ryzen™ 7 4700G (OEM Only),8.0,16.0,3.6,4.4,65.0,AM4,Desktop,Radeon™ Graphics,8.0,AMD
AMD Ryzen™ 7 4700GE (OEM Only),8.0,16.0,3.1,4.3,35.0,AM4,Desktop,Radeon™  Graphics,8.0,AMD
AMD Ryzen™ 7 4700U,8.0,8.0,2.0,4.1,15.0,FP6,Laptop,AMD Radeon™ Graphics,8.0,AMD
AMD Ryzen™ 7 4800H,8.0,16.0,2.9,4.2,45.0,FP6,Laptop,AMD Radeon™ Graphics,8.0,AMD
AMD Ryzen™ 7 4800HS,8.0,16.0,2.9,4.2,45.0,FP6,Laptop,AMD Radeon™ Graphics,8.0,AMD
AMD Ryzen™ 7 4800U,8.0,16.0,1.8,4.2,15.0,FP6,Laptop,AMD Radeon™ Graphics,8.0,AMD
AMD Ryzen™ 7 4980U Microsoft Surface® Edition,8.0,16.0,2.0,4.4,15.0,FP6,Laptop,Radeon™  Graphics,8.0,AMD
AMD Ryzen™ 7 5700G,8.0,16.0,3.8,4.6,65.0,AM4,Boxed Processor,Radeon™  Graphics,16.0,AMD
AMD Ryzen™ 7 5700GE,8.0,16.0,3.2,4.6,35.0,AM4,Desktop,Radeon™  Graphics,16.0,AMD
AMD Ryzen™ 7 5700U,8.0,16.0,1.8,4.3,15.0,FP6,Laptop,AMD Radeon™ Graphics,8.0,AMD
AMD Ryzen™ 7 5700X,8.0,16.0,3.4,4.6,65.0,AM4,Desktop,None,32.0,AMD
AMD Ryzen™ 7 5800 (OEM Only),8.0,16.0,3.4,4.6,65.0,AM4,Desktop,None,32.0,AMD
AMD Ryzen™ 7 5800H,8.0,16.0,3.2,4.4,45.0,FP6,Laptop,AMD Radeon™ Graphics,16.0,AMD
AMD Ryzen™ 7 5800HS,8.0,16.0,2.8,4.4,35.0,FP6,Laptop,AMD Radeon™ Graphics,16.0,AMD
AMD Ryzen™ 7 5800U,8.0,16.0,1.9,4.4,15.0,FP6,Laptop,AMD Radeon™ Graphics,16.0,AMD
AMD Ryzen™ 7 5800X,8.0,16.0,3.8,4.7,105.0,AM4,Boxed Processor,None,32.0,AMD
AMD Ryzen™ 7 5800X3D,8.0,16.0,3.4,4.5,105.0,AM4,Desktop,None,96.0,AMD
AMD Ryzen™ 7 5825C,8.0,16.0,2.0,4.5,15.0,FP6,Laptop,AMD Radeon™ Graphics,16.0,AMD
AMD Ryzen™ 7 5825U,8.0,16.0,2.0,4.5,15.0,FP6,Laptop,AMD Radeon™ Graphics,16.0,AMD
AMD Ryzen™ 7 6800H,8.0,16.0,3.2,4.7,45.0,FP7,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 7 6800HS,8.0,16.0,3.2,4.7,35.0,FP7,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 7 6800U​,8.0,16.0,2.7,4.7,0.0,FP7,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 7 7700,8.0,16.0,3.8,5.3,65.0,AM5,Desktop,AMD Radeon™ Graphics,32.0,AMD
AMD Ryzen™ 7 7700X,8.0,16.0,4.5,5.4,105.0,AM5,Desktop,AMD Radeon™ Graphics,32.0,AMD
AMD Ryzen™ 7 7730U,8.0,16.0,2.0,4.5,15.0,FP6,Laptop,AMD Radeon™ Graphics,16.0,AMD
AMD Ryzen™ 7 7735HS,8.0,16.0,3.2,4.75,35.0,FP7,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 7 7735U,8.0,16.0,2.7,4.75,28.0,FP7,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 7 7736U​,8.0,16.0,2.7,4.7,0.0,FP7,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 7 7745HX,8.0,16.0,3.6,5.1,55.0,FL1,Laptop,AMD Radeon™ 610M,32.0,AMD
AMD Ryzen™ 7 7800X3D,8.0,16.0,4.2,5.0,120.0,AM5,Desktop,AMD Radeon™ Graphics,96.0,AMD
AMD Ryzen™ 7 7840HS,8.0,16.0,3.8,5.1,35.0,"FP7, FP7r2, FP8",Laptop,AMD Radeon™ 780M,16.0,AMD
AMD Ryzen™ 7 7840U,8.0,16.0,3.3,5.1,28.0,"FP7, FP7r2, FP8",Laptop,AMD Radeon™ 780M,16.0,AMD
AMD Ryzen™ 7 PRO 1700,8.0,16.0,3.0,3.7,65.0,AM4,Desktop,None,16.0,AMD
AMD Ryzen™ 7 PRO 1700X Processor,8.0,16.0,3.4,3.8,95.0,AM4,Desktop,None,16.0,AMD
AMD Ryzen™ 7 PRO 2700,8.0,16.0,3.2,4.1,65.0,AM4,Desktop,None,16.0,AMD
AMD Ryzen™ 7 PRO 2700X,8.0,16.0,3.6,4.1,95.0,AM4,Desktop,None,16.0,AMD
AMD Ryzen™ 7 PRO 3700,8.0,16.0,3.6,4.4,65.0,AM4,Desktop,None,32.0,AMD
AMD Ryzen™ 7 PRO 4750G,8.0,16.0,3.6,4.4,65.0,AM4,Desktop,Radeon™ Graphics,8.0,AMD
AMD Ryzen™ 7 PRO 4750GE,8.0,16.0,3.1,4.3,35.0,AM4,Desktop,Radeon™ Graphics,8.0,AMD
AMD Ryzen™ 7 PRO 4750U,8.0,16.0,1.7,4.1,15.0,FP6,Laptop,AMD Radeon™ Graphics,8.0,AMD
AMD Ryzen™ 7 PRO 5750G,8.0,16.0,3.8,4.6,65.0,AM4,Desktop,Radeon™  Graphics,16.0,AMD
AMD Ryzen™ 7 PRO 5750GE,8.0,16.0,3.2,4.6,35.0,AM4,Desktop,Radeon™  Graphics,16.0,AMD
AMD Ryzen™ 7 PRO 5845,8.0,16.0,3.4,4.6,65.0,AM4,Desktop,None,32.0,AMD
AMD Ryzen™ 7 PRO 5850U,8.0,16.0,1.9,4.4,15.0,FP6,Laptop,AMD Radeon™ Graphics,16.0,AMD
AMD Ryzen™ 7 PRO 5875U,8.0,16.0,2.0,4.5,15.0,FP6,Laptop,AMD Radeon™ Graphics,16.0,AMD
AMD Ryzen™ 7 PRO 6850H,8.0,16.0,3.2,4.7,45.0,N/A,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 7 PRO 6850HS,8.0,16.0,3.2,4.7,35.0,N/A,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 7 PRO 6850U,8.0,16.0,2.7,4.7,0.0,N/A,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 7 PRO 6860Z,8.0,16.0,2.7,4.75,28.0,N/A,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 7 PRO 7730U,8.0,16.0,2.0,4.5,15.0,FP6,Laptop,AMD Radeon™ Graphics,16.0,AMD
AMD Ryzen™ 7 PRO 7745,8.0,16.0,3.8,5.3,65.0,AM5,Desktop,AMD Radeon™ Graphics,32.0,AMD
AMD Ryzen™ 7 PRO 7840HS,8.0,16.0,3.8,5.1,45.0,"FP7, FP7r2","Laptop, Mobile Workstation",AMD Radeon™ 780M,16.0,AMD
AMD Ryzen™ 7 PRO 7840U,8.0,16.0,3.3,5.1,28.0,"FP7, FP7r2","Laptop, Mobile Workstation",AMD Radeon™ 780M,16.0,AMD
AMD Ryzen™ 9 4900H,8.0,16.0,3.3,4.4,35.0,FP6,Laptop,AMD Radeon™ Graphics,8.0,AMD
AMD Ryzen™ 9 4900HS,8.0,16.0,3.0,4.3,35.0,FP6,Laptop,AMD Radeon™ Graphics,8.0,AMD
AMD Ryzen™ 9 5900HS,8.0,16.0,3.0,4.6,35.0,FP6,Laptop,AMD Radeon™ Graphics,16.0,AMD
AMD Ryzen™ 9 5900HX,8.0,16.0,3.3,4.6,45.0,FP6,Laptop,AMD Radeon™ Graphics,16.0,AMD
AMD Ryzen™ 9 5980HS,8.0,16.0,3.0,4.8,35.0,FP6,Laptop,AMD Radeon™ Graphics,16.0,AMD
AMD Ryzen™ 9 5980HX,8.0,16.0,3.3,4.8,45.0,FP6,Laptop,AMD Radeon™ Graphics,16.0,AMD
AMD Ryzen™ 9 6900HS​,8.0,16.0,3.3,4.9,35.0,N/A,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 9 6900HX,8.0,16.0,3.3,4.9,45.0,FP7,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 9 6980HS,8.0,16.0,3.3,5.0,35.0,FP7,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 9 6980HX,8.0,16.0,3.3,5.0,45.0,FP7,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 9 7940HS,8.0,16.0,4.0,5.2,35.0,"FP7, FP7r2, FP8",Laptop,AMD Radeon™ 780M,16.0,AMD
AMD Ryzen™ 9 PRO 6950H,8.0,16.0,3.3,4.9,45.0,N/A,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 9 PRO 6950HS,8.0,16.0,3.3,4.9,35.0,N/A,Laptop,AMD Radeon™ 680M,16.0,AMD
AMD Ryzen™ 9 PRO 7940HS,8.0,16.0,4.0,5.2,45.0,"FP7, FP7r2","Laptop, Mobile Workstation",AMD Radeon™ 780M,16.0,AMD
AMD Ryzen™ Threadripper™ 1900X,8.0,16.0,3.8,4.0,180.0,sTR4,Boxed Processor,None,16.0,AMD
AMD Ryzen™ Z1 Extreme,8.0,16.0,3.3,5.1,0.0,N/A,Handheld,None,16.0,AMD
FX-8120,8.0,8.0,3.1,4.0,125.0,AM3+,Boxed Processor,None,8.0,AMD
FX-8150,8.0,8.0,3.6,4.2,125.0,AM3+,Boxed Processor,None,8.0,AMD
FX-8300,8.0,8.0,3.3,4.2,95.0,AM3+,Boxed Processor,None,8.0,AMD
FX-8310,8.0,8.0,3.4,4.3,95.0,AM3+,Boxed Processor,None,0.0,AMD
FX-8320,8.0,8.0,3.5,4.0,125.0,AM3+,Boxed Processor,None,8.0,AMD
FX-8320E,8.0,8.0,3.2,4.0,95.0,AM3+,Boxed Processor,None,8.0,AMD
FX-8350,8.0,8.0,4.0,4.2,125.0,AM3+,Boxed Processor,None,8.0,AMD
FX-8350 with Wraith cooler,8.0,8.0,4.0,4.2,125.0,AM3+,Boxed Processor,None,8.0,AMD
FX-8370,8.0,8.0,4.0,4.3,125.0,AM3+,Boxed Processor,None,8.0,AMD
